id,classroom_id,activity_id,student_id,student_name,student_enrollment,student_email,time_mrplato,num_attempts,num_backs,num_errors,problem_id,problem,solution,time_activity_expires,activity_category
6a7b6fdb-ed42-4791-8d65-8a1114474637,deabc128-69dd-41d1-aa55-d51df0755f99,6fc57304-c751-4def-b8d2-8f61fd957914,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:01:16.813945,2,0,0,2,"11 - ~ p -> ~ q , q ⊢ p","['content: ∼p → ∼q methods_used_info: P', 'content: q methods_used_info: P', 'content: q → p methods_used_info: CP_rl-[0]', 'content: p methods_used_info: MP-[2, 1]']",2024-03-28 14:46:23.075000,exercises
d12421b2-6dd2-42d5-ac3e-78f09b58508a,deabc128-69dd-41d1-aa55-d51df0755f99,6fc57304-c751-4def-b8d2-8f61fd957914,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:06.435755,1,0,0,1,"0 - p  → q , p ⊢ (q v p)","['content: p → q methods_used_info: P', 'content: p methods_used_info: P', 'content: q ∨ p methods_used_info: ADD2-[1]']",2024-03-28 14:46:23.075000,exercises
b000d598-f083-4312-8b97-10b07ef81968,deabc128-69dd-41d1-aa55-d51df0755f99,6fc57304-c751-4def-b8d2-8f61fd957914,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:12.060350,3,0,0,0,13 - ∼p(a) ⊢ ∼∀xp(x),"['content: ∼p(a) methods_used_info: P', 'content: ∃x∼p(x) methods_used_info: GE_lr-[0]', 'content: ∼∀xp(x) methods_used_info: DME_rl-[1]']",2024-03-28 14:46:23.075000,exercises
82a02062-a11b-4d19-80f1-f563f94989fd,deabc128-69dd-41d1-aa55-d51df0755f99,6fc57304-c751-4def-b8d2-8f61fd957914,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:01:20.212266,2,0,0,17,"26 -  p -> q , q -> r ⊢ ~ p v r","['p → q P', 'q → r P', 'p → r SH-[0, 1]', '∼p ∨ r COND_lr-[2]']",2024-05-09 17:46:23.075000,exercises
42ee9ec1-623a-453e-9513-0f77a7d39635,deabc128-69dd-41d1-aa55-d51df0755f99,f2557207-7b15-473f-b8ce-c06f077cf280,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:04.492993,1,0,0,1,"p->q , ~q ⊢ ~p","['p → q P', '∼q P', '∼p MT-[0, 1]']",2024-05-09 14:05:10.843000,exercises
42b91001-471a-4f00-960f-e1370b305c18,deabc128-69dd-41d1-aa55-d51df0755f99,f2557207-7b15-473f-b8ce-c06f077cf280,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:09.941105,1,0,0,0,"p->q , p ⊢ (qvp)","['p → q P', 'p P', 'q ∨ p ADD2-[1]']",2024-05-09 14:05:10.843000,exercises
8d7559ca-6764-441e-a79b-396fe97f5d39,deabc128-69dd-41d1-aa55-d51df0755f99,3cabc372-3e88-4af9-9f9e-68ac7a692bdc,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:00.001100,1,0,0,1,"p->q , ~q ⊢ ~p","['p → q P', '∼q P', '∼p MT-[0, 1]']",2024-05-10 11:49:51.951000,challenges
ccde5bc0-a2da-4858-9576-8ffce74e00a9,deabc128-69dd-41d1-aa55-d51df0755f99,3cabc372-3e88-4af9-9f9e-68ac7a692bdc,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:40.044947,1,0,0,28,"~~p , p ⊢ EQV","['∼∼p P', 'p DN_lr-[0]']",2024-05-10 11:49:51.951000,challenges
e422cd1b-5d1f-4416-9310-b7403bc53ece,deabc128-69dd-41d1-aa55-d51df0755f99,f2557207-7b15-473f-b8ce-c06f077cf280,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:12.094660,1,0,0,2,"p->q , q->s ⊢ p->s","['p → q P', 'q → s P', 'p → s SH-[0, 1]']",2024-05-09 14:05:10.843000,exercises
f3ba8682-2539-4e63-8c2e-f9a6d19e2da2,deabc128-69dd-41d1-aa55-d51df0755f99,26565e95-ae27-4ff4-974d-a59943826137,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:01:13.181721,1,0,0,19,~ ~ p |= CNF,"['∼∼p P', 'p DN_lr-[0]']",2024-05-09 23:50:22.889000,exercises
040ef44d-31bd-4d96-bd80-6ced27da9bca,deabc128-69dd-41d1-aa55-d51df0755f99,f37bd402-49ed-43f7-880f-1b93302a74e4,6e66c1ac-f0bb-41f6-8baa-19833ac5039c,tomazini,123123123,tomazini@discente.ufg.br,0:00:05.136766,1,0,0,0,"p->q , p ⊢ (qvp)","['p → q P', 'p P', 'q ∨ p ADD2-[1]']",2024-05-13 21:41:38.278000,exercises
c3de8150-6082-45a9-94ba-7c8c165a57ce,deabc128-69dd-41d1-aa55-d51df0755f99,f37bd402-49ed-43f7-880f-1b93302a74e4,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:11.411742,1,0,0,0,"p->q , p ⊢ (qvp)","['p → q P', 'p P', 'q ∨ p ADD2-[1]']",2024-05-13 21:41:38.278000,exercises
70e1e032-b1df-4b2f-b822-57d73062d46f,deabc128-69dd-41d1-aa55-d51df0755f99,f37bd402-49ed-43f7-880f-1b93302a74e4,6e66c1ac-f0bb-41f6-8baa-19833ac5039c,tomazini,123123123,tomazini@discente.ufg.br,0:00:04.896766,1,0,0,2,"p->q , q->s ⊢ p->s","['p → q P', 'q → s P', 'p → s SH-[0, 1]']",2024-05-13 21:41:38.278000,exercises
f9e2264b-79ff-468f-acbb-001a33aaaccf,deabc128-69dd-41d1-aa55-d51df0755f99,3cabc372-3e88-4af9-9f9e-68ac7a692bdc,6e66c1ac-f0bb-41f6-8baa-19833ac5039c,tomazini,123123123,tomazini@discente.ufg.br,0:00:30.054598,1,0,0,0,"p->q , p ⊢ (qvp)","['p → q P', 'p P', 'q ∨ p ADD2-[1]']",2024-05-13 17:49:51.951000,challenges
d4d9eab7-2993-450a-9c1d-b4d5b3c8bedf,deabc128-69dd-41d1-aa55-d51df0755f99,3cabc372-3e88-4af9-9f9e-68ac7a692bdc,6e66c1ac-f0bb-41f6-8baa-19833ac5039c,tomazini,123123123,tomazini@discente.ufg.br,0:00:08.519821,1,0,0,2,"p->q , q->s ⊢ p->s","['p → q P', 'q → s P', 'p → s SH-[0, 1]']",2024-05-13 17:49:51.951000,challenges
da3f8b1f-3e1c-4be7-81ef-3302ff1be02f,deabc128-69dd-41d1-aa55-d51df0755f99,f37bd402-49ed-43f7-880f-1b93302a74e4,f695c86b-39da-4fb4-bd60-b20b0fdbc2a0,teste,123456789,q@q.com,0:00:07.264954,1,0,0,1,"p->q , ~q ⊢ ~p","['p → q P', '∼q P', '∼p MT-[0, 1]']",2024-05-13 21:41:38.278000,exercises
